volume,Instrument,timestamp
0.1,BTC-31DEC21-32000-P,2021-06-27 01:00:00
0.1,BTC-24SEP21-36000-C,2021-06-27 02:00:00
1,BTC-24SEP21-40000-C,2021-06-27 04:00:00
2,BTC-24SEP21-100000-C,2021-06-27 06:00:00
0.1,BTC-24SEP21-40000-P,2021-06-27 14:00:00
0.1,BTC-31DEC21-64000-P,2021-06-27 15:00:00
0.2,BTC-31DEC21-56000-C,2021-06-27 21:00:00
3,BTC-31DEC21-32000-P,2021-06-27 22:00:00
1,BTC-31DEC21-28000-P,2021-06-27 22:00:00
1,BTC-31DEC21-16000-C,2021-06-27 22:00:00
0.4,BTC-24SEP21-36000-P,2021-06-28 00:00:00
0.2,BTC-31DEC21-44000-C,2021-06-28 01:00:00
0.1,BTC-24SEP21-36000-P,2021-06-28 01:00:00
78.9,BTC-24SEP21-100000-C,2021-06-28 02:00:00
11,BTC-31DEC21-36000-C,2021-06-28 02:00:00
10.9,BTC-31DEC21-16000-C,2021-06-28 02:00:00
7.7,BTC-31DEC21-80000-P,2021-06-28 02:00:00
6.7,BTC-31DEC21-68000-P,2021-06-28 02:00:00
1.8,BTC-31DEC21-64000-P,2021-06-28 02:00:00
0.8,BTC-24SEP21-80000-C,2021-06-28 02:00:00
0.8,BTC-31DEC21-48000-C,2021-06-28 02:00:00
0.2,BTC-31DEC21-80000-C,2021-06-28 02:00:00
0.1,BTC-24SEP21-36000-P,2021-06-28 02:00:00
1498.2,BTC-24SEP21-100000-C,2021-06-28 03:00:00
9.1,BTC-31DEC21-80000-P,2021-06-28 03:00:00
8.2,BTC-31DEC21-68000-P,2021-06-28 03:00:00
7,BTC-31DEC21-36000-C,2021-06-28 03:00:00
4,BTC-31DEC21-16000-C,2021-06-28 03:00:00
0.3,BTC-31DEC21-56000-C,2021-06-28 03:00:00
0.1,BTC-31DEC21-52000-C,2021-06-28 03:00:00
0.1,BTC-31DEC21-68000-C,2021-06-28 03:00:00
0.1,BTC-31DEC21-60000-C,2021-06-28 03:00:00
0.1,BTC-31DEC21-48000-C,2021-06-28 03:00:00
17.5,BTC-31DEC21-32000-P,2021-06-28 04:00:00
6.1,BTC-31DEC21-16000-C,2021-06-28 04:00:00
3.4,BTC-31DEC21-24000-P,2021-06-28 04:00:00
3.1,BTC-31DEC21-16000-P,2021-06-28 04:00:00
3,BTC-31DEC21-36000-C,2021-06-28 04:00:00
2.9,BTC-31DEC21-20000-P,2021-06-28 04:00:00
1.1,BTC-24SEP21-64000-C,2021-06-28 04:00:00
1,BTC-31DEC21-28000-P,2021-06-28 04:00:00
1,BTC-24SEP21-200000-C,2021-06-28 04:00:00
0.1,BTC-31DEC21-52000-P,2021-06-28 04:00:00
0.1,BTC-24SEP21-80000-C,2021-06-28 04:00:00
0.1,BTC-24SEP21-32000-C,2021-06-28 04:00:00
0.1,BTC-31DEC21-64000-P,2021-06-28 04:00:00
0.1,BTC-31DEC21-56000-P,2021-06-28 04:00:00
0.1,BTC-31DEC21-32000-C,2021-06-28 04:00:00
10,BTC-24SEP21-10000-P,2021-06-28 05:00:00
5,BTC-31DEC21-32000-P,2021-06-28 05:00:00
1,BTC-31DEC21-28000-P,2021-06-28 05:00:00
0.1,BTC-24SEP21-32000-C,2021-06-28 05:00:00
197,BTC-24SEP21-36000-C,2021-06-28 07:00:00
147.3,BTC-24SEP21-36000-P,2021-06-28 07:00:00
110.2,BTC-24SEP21-32000-P,2021-06-28 07:00:00
57.6,BTC-24SEP21-28000-P,2021-06-28 07:00:00
50.7,BTC-24SEP21-64000-C,2021-06-28 07:00:00
44.8,BTC-24SEP21-40000-C,2021-06-28 07:00:00
41.4,BTC-24SEP21-80000-C,2021-06-28 07:00:00
39.8,BTC-24SEP21-200000-C,2021-06-28 07:00:00
37.9,BTC-24SEP21-100000-C,2021-06-28 07:00:00
33.8,BTC-24SEP21-48000-C,2021-06-28 07:00:00
16,BTC-24SEP21-20000-P,2021-06-28 07:00:00
15.9,BTC-24SEP21-44000-C,2021-06-28 07:00:00
13,BTC-24SEP21-24000-P,2021-06-28 07:00:00
7.9,BTC-24SEP21-9000-P,2021-06-28 07:00:00
7.1,BTC-24SEP21-10000-P,2021-06-28 07:00:00
6.9,BTC-24SEP21-13000-P,2021-06-28 07:00:00
6.6,BTC-24SEP21-11000-P,2021-06-28 07:00:00
5.3,BTC-24SEP21-12000-P,2021-06-28 07:00:00
5.2,BTC-24SEP21-8000-P,2021-06-28 07:00:00
4.4,BTC-24SEP21-7000-P,2021-06-28 07:00:00
4.3,BTC-24SEP21-6000-P,2021-06-28 07:00:00
4,BTC-24SEP21-14000-P,2021-06-28 07:00:00
2.7,BTC-24SEP21-17000-P,2021-06-28 07:00:00
1.6,BTC-24SEP21-15000-P,2021-06-28 07:00:00
0.6,BTC-24SEP21-16000-P,2021-06-28 07:00:00
0.1,BTC-31DEC21-20000-C,2021-06-28 07:00:00
26.3,BTC-24SEP21-100000-C,2021-06-28 08:00:00
14.3,BTC-31DEC21-32000-P,2021-06-28 08:00:00
5.8,BTC-24SEP21-48000-C,2021-06-28 08:00:00
5.6,BTC-24SEP21-200000-C,2021-06-28 08:00:00
5.2,BTC-24SEP21-12000-P,2021-06-28 08:00:00
5.2,BTC-24SEP21-15000-P,2021-06-28 08:00:00
4.6,BTC-24SEP21-80000-C,2021-06-28 08:00:00
4.3,BTC-24SEP21-44000-C,2021-06-28 08:00:00
4.3,BTC-24SEP21-64000-C,2021-06-28 08:00:00
3.9,BTC-24SEP21-24000-P,2021-06-28 08:00:00
3.9,BTC-24SEP21-16000-P,2021-06-28 08:00:00
3.9,BTC-24SEP21-14000-P,2021-06-28 08:00:00
3.9,BTC-24SEP21-17000-P,2021-06-28 08:00:00
3.9,BTC-24SEP21-20000-P,2021-06-28 08:00:00
2.6,BTC-24SEP21-10000-P,2021-06-28 08:00:00
2.6,BTC-24SEP21-11000-P,2021-06-28 08:00:00
2.3,BTC-31DEC21-28000-P,2021-06-28 08:00:00
1.3,BTC-24SEP21-13000-P,2021-06-28 08:00:00
1.3,BTC-24SEP21-28000-P,2021-06-28 08:00:00
1.1,BTC-24SEP21-40000-C,2021-06-28 08:00:00
0.4,BTC-31DEC21-80000-C,2021-06-28 08:00:00
