date,volatility
2021-06-29 05:00:00,123.22
2021-06-29 06:00:00,145.56
2021-06-29 07:00:00,145.87
2021-06-29 08:00:00,121.68
2021-06-29 09:00:00,146.39
2021-06-29 10:00:00,129.3
2021-06-29 11:00:00,123.65
2021-06-29 12:00:00,147.19
2021-06-29 13:00:00,150.44
2021-06-29 14:00:00,146.38
2021-06-29 15:00:00,147.74
2021-06-29 16:00:00,147.85
2021-06-29 17:00:00,148.33
2021-06-29 18:00:00,147.69
2021-06-29 19:00:00,148.5
2021-06-29 20:00:00,150.16
2021-06-29 21:00:00,148.93
2021-06-29 22:00:00,148.8
2021-06-29 23:00:00,149.24
2021-06-30 00:00:00,149.91
2021-06-30 01:00:00,149.94
2021-06-30 02:00:00,130.22
2021-06-30 03:00:00,149.98
2021-06-30 04:00:00,142.8
2021-06-30 05:00:00,143.35
2021-06-30 06:00:00,143.09
2021-06-30 07:00:00,127.93
2021-06-30 08:00:00,126.49
2021-06-30 09:00:00,127.2
2021-06-30 10:00:00,129.28
2021-06-30 11:00:00,129.09
2021-06-30 12:00:00,146.58
2021-06-30 13:00:00,155.11
2021-06-30 14:00:00,144.86
2021-06-30 15:00:00,144.85
2021-06-30 16:00:00,144.86
2021-06-30 17:00:00,144.85
2021-06-30 18:00:00,145.01
2021-06-30 19:00:00,141.51
2021-06-30 20:00:00,145.24
2021-06-30 21:00:00,145.76
2021-06-30 22:00:00,146.75
2021-06-30 23:00:00,145.68
2021-07-01 00:00:00,146.21
2021-07-01 01:00:00,146.36
2021-07-01 02:00:00,142.73
2021-07-01 03:00:00,141.84
2021-07-01 04:00:00,138.31
2021-07-01 05:00:00,142.57
2021-07-01 06:00:00,148.49
2021-07-01 07:00:00,137.77
2021-07-01 08:00:00,149.54
2021-07-01 09:00:00,126.77
2021-07-01 10:00:00,125.46
2021-07-01 11:00:00,126.04
2021-07-01 12:00:00,125.42
2021-07-01 13:00:00,125.14
2021-07-01 14:00:00,125.28
2021-07-01 15:00:00,125.61
2021-07-01 16:00:00,126.44
2021-07-01 17:00:00,126.57
2021-07-01 18:00:00,125.88
2021-07-01 19:00:00,127.04
2021-07-01 20:00:00,127.26
2021-07-01 21:00:00,125.42
2021-07-01 22:00:00,124.83
2021-07-01 23:00:00,125.55
2021-07-02 00:00:00,124.43
2021-07-02 01:00:00,125.21
2021-07-02 02:00:00,126.61
2021-07-02 03:00:00,126.84
2021-07-02 04:00:00,127.58
2021-07-02 05:00:00,130.54
2021-07-02 06:00:00,143.62
2021-07-02 07:00:00,133.58
2021-07-02 08:00:00,129.44
2021-07-02 09:00:00,126.87
2021-07-02 10:00:00,114.53
2021-07-02 11:00:00,113.42
2021-07-02 12:00:00,114.09
2021-07-02 13:00:00,114.88
2021-07-02 14:00:00,115.03
2021-07-02 15:00:00,115.33
2021-07-02 16:00:00,114.71
2021-07-02 17:00:00,114.35
2021-07-02 18:00:00,114.03
2021-07-02 19:00:00,115.22
2021-07-02 20:00:00,114.03
2021-07-02 21:00:00,115.86
2021-07-02 22:00:00,115.78
2021-07-02 23:00:00,115.21
2021-07-03 00:00:00,114.9
2021-07-03 01:00:00,115.24
2021-07-03 02:00:00,115.06
2021-07-03 03:00:00,114.54
2021-07-03 04:00:00,115.39
2021-07-03 05:00:00,115.61
2021-07-03 06:00:00,115.24
2021-07-03 07:00:00,129.22
2021-07-03 08:00:00,127.51
2021-07-03 09:00:00,128.37
2021-07-03 10:00:00,128.82
2021-07-03 11:00:00,129.01
2021-07-03 12:00:00,129.05
2021-07-03 13:00:00,129.42
2021-07-03 14:00:00,130.32
2021-07-03 15:00:00,128.84
2021-07-03 16:00:00,129.13
2021-07-03 17:00:00,129.39
2021-07-03 18:00:00,129.37
2021-07-03 19:00:00,129.58
2021-07-03 20:00:00,129.58
2021-07-03 21:00:00,129.65
2021-07-03 22:00:00,129.83
2021-07-03 23:00:00,130.47
2021-07-04 00:00:00,130.32
2021-07-04 01:00:00,130.51
2021-07-04 02:00:00,130.68
2021-07-04 03:00:00,130.8
2021-07-04 04:00:00,130.97
2021-07-04 05:00:00,131.53
2021-07-04 06:00:00,127.22
2021-07-04 07:00:00,127.25
2021-07-04 08:00:00,127.39
2021-07-04 09:00:00,127.3
2021-07-04 10:00:00,127.51
2021-07-04 11:00:00,131.38
2021-07-04 12:00:00,131.35
2021-07-04 13:00:00,131.86
2021-07-04 14:00:00,131.76
2021-07-04 15:00:00,131.96
2021-07-04 16:00:00,132.1
2021-07-04 17:00:00,132.37
2021-07-04 18:00:00,132.5
2021-07-04 19:00:00,132.61
2021-07-04 20:00:00,132.8
2021-07-04 21:00:00,133.31
2021-07-04 22:00:00,133.44
2021-07-04 23:00:00,133.59
2021-07-05 00:00:00,133.7
2021-07-05 01:00:00,133.76
2021-07-05 02:00:00,135.44
2021-07-05 03:00:00,135.6
2021-07-05 04:00:00,134.64
2021-07-05 05:00:00,134.75
2021-07-05 06:00:00,134.79
2021-07-05 07:00:00,135.05
2021-07-05 08:00:00,135.15
2021-07-05 09:00:00,135.18
2021-07-05 10:00:00,133.88
2021-07-05 11:00:00,130.79
2021-07-05 12:00:00,132
2021-07-05 13:00:00,131.78
2021-07-05 14:00:00,132.09
2021-07-05 15:00:00,114.02
2021-07-05 16:00:00,113.85
2021-07-05 17:00:00,115.24
2021-07-05 18:00:00,115.43
2021-07-05 19:00:00,114.4
2021-07-05 20:00:00,113.98
2021-07-05 21:00:00,115.14
2021-07-05 22:00:00,114.47
2021-07-05 23:00:00,111.79
2021-07-06 00:00:00,134.47
2021-07-06 01:00:00,134.5
2021-07-06 02:00:00,135.28
2021-07-06 03:00:00,135.27
2021-07-06 04:00:00,133.55
2021-07-06 05:00:00,133.54
2021-07-06 06:00:00,133.67
2021-07-06 07:00:00,119.9
2021-07-06 08:00:00,130.11
2021-07-06 09:00:00,130.78
2021-07-06 10:00:00,141.28
2021-07-06 11:00:00,143.84
2021-07-06 12:00:00,152.97
2021-07-06 13:00:00,147.47
2021-07-06 14:00:00,145.47
2021-07-06 15:00:00,147.29
2021-07-06 16:00:00,143.62
2021-07-06 17:00:00,145.53
2021-07-06 18:00:00,145
2021-07-06 19:00:00,131.86
2021-07-06 20:00:00,128.72
2021-07-06 21:00:00,145.45
2021-07-06 22:00:00,145.46
2021-07-06 23:00:00,144.31
2021-07-07 00:00:00,143.98
2021-07-07 01:00:00,144.32
2021-07-07 02:00:00,144.57
2021-07-07 03:00:00,144.35
2021-07-07 04:00:00,144.12
2021-07-07 05:00:00,142.28
2021-07-07 06:00:00,140.41
2021-07-07 07:00:00,140.49
2021-07-07 08:00:00,139.15
2021-07-07 09:00:00,141.89
2021-07-07 10:00:00,146.26
2021-07-07 11:00:00,146.31
2021-07-07 12:00:00,143.36
2021-07-07 13:00:00,136.25
2021-07-07 14:00:00,133.71
2021-07-07 15:00:00,134.68
2021-07-07 16:00:00,133.1
2021-07-07 17:00:00,133.8
2021-07-07 18:00:00,133.92
2021-07-07 19:00:00,134.15
2021-07-07 20:00:00,132.91
2021-07-07 21:00:00,144.72
2021-07-07 22:00:00,145.05
2021-07-07 23:00:00,146.41
2021-07-08 00:00:00,146.65
2021-07-08 01:00:00,146.76
2021-07-08 02:00:00,146.79
2021-07-08 03:00:00,146.76
2021-07-08 04:00:00,146.84
2021-07-08 05:00:00,147.12
2021-07-08 06:00:00,147.1
2021-07-08 07:00:00,146.37
2021-07-08 08:00:00,142.66
2021-07-08 09:00:00,112.55
2021-07-08 10:00:00,112.51
2021-07-08 11:00:00,110.74
2021-07-08 12:00:00,118.11
2021-07-08 13:00:00,116.56
2021-07-08 14:00:00,114.68
2021-07-08 15:00:00,110.27
2021-07-08 16:00:00,110.42
2021-07-08 17:00:00,110.8
2021-07-08 18:00:00,110.84
2021-07-08 19:00:00,110.96
2021-07-08 20:00:00,114.59
2021-07-08 21:00:00,113.47
2021-07-08 22:00:00,113.49
2021-07-08 23:00:00,113.36
2021-07-09 00:00:00,113.87
2021-07-09 01:00:00,113.59
2021-07-09 02:00:00,113.87
2021-07-09 03:00:00,114.43
2021-07-09 04:00:00,114.45
2021-07-09 05:00:00,114.78
2021-07-09 06:00:00,115.13
2021-07-09 07:00:00,113.38
2021-07-09 08:00:00,112.38
2021-07-09 09:00:00,126.14
2021-07-09 10:00:00,115.17
2021-07-09 11:00:00,115.14
2021-07-09 12:00:00,115.05
2021-07-09 13:00:00,115.64
2021-07-09 14:00:00,115.38
2021-07-09 15:00:00,111.71
2021-07-09 16:00:00,111.66
2021-07-09 17:00:00,111.66
2021-07-09 18:00:00,111.66
2021-07-09 19:00:00,111.66
2021-07-09 20:00:00,111.66
2021-07-09 21:00:00,111.66
2021-07-09 22:00:00,111.66
2021-07-09 23:00:00,111.66
2021-07-10 00:00:00,111.66
2021-07-10 01:00:00,111.66
2021-07-10 02:00:00,111.66
2021-07-10 03:00:00,111.94
2021-07-10 04:00:00,118.5
2021-07-10 05:00:00,122.16
2021-07-10 06:00:00,124.39
2021-07-10 07:00:00,124.54
2021-07-10 08:00:00,124.71
2021-07-10 09:00:00,124.89
2021-07-10 10:00:00,125.68
2021-07-10 11:00:00,126.17
2021-07-10 12:00:00,126.14
2021-07-10 13:00:00,125.84
2021-07-10 14:00:00,125.58
2021-07-10 15:00:00,126.15
2021-07-10 16:00:00,126.18
2021-07-10 17:00:00,126.27
2021-07-10 18:00:00,125.92
2021-07-10 19:00:00,126.12
2021-07-10 20:00:00,136.28
2021-07-10 21:00:00,136.79
2021-07-10 22:00:00,137.17
2021-07-10 23:00:00,137.44
2021-07-11 00:00:00,137.53
2021-07-11 01:00:00,137.74
2021-07-11 02:00:00,137.89
2021-07-11 03:00:00,138.03
2021-07-11 04:00:00,138.16
2021-07-11 05:00:00,138.35
2021-07-11 06:00:00,138.3
2021-07-11 07:00:00,138.39
2021-07-11 08:00:00,137.42
2021-07-11 09:00:00,137.74
2021-07-11 10:00:00,137.79
2021-07-11 11:00:00,138.08
2021-07-11 12:00:00,165
